"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 04/07/2024 17:07:38",

"Nombre del Indicador Clave: Tasa de desocupación - 15 años y más",
"Definición: Porcentaje que representa la población desocupada respecto a la población económicamente activa (PEA calculada con la población de 15 años y más).",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: Segundo trimestre de 1995 a 1999 y cifras  trimestrales a partir del segundo trimestre de 2000 al último disponible.",
"Unidad de medida: Porcentaje",
"Periodicidad: Trimestral",
"Próxima fecha de actualización: 3 de Septiembre de 2024",


"Entidad federativa","Indicador","2015/01","2015/02","2015/03","2015/04","2016/01","2016/02","2016/03","2016/04","2017/01","2017/02","2017/03","2017/04","2018/01","2018/02","2018/03","2018/04","2019/01","2019/02","2019/03","2019/04","2020/01","2020/02","2020/03","2020/04","2021/01","2021/02","2021/03","2021/04","2022/01","2022/02","2022/03","2022/04","2023/01","2023/02","2023/03","2023/04","2024/01",
"Baja California Sur","Mujer","6.74937","4.59130","5.99331","4.30550","5.79049","3.95930","5.87972","4.70709","5.85681","4.45138","6.04125","5.45224","4.33414","3.91661","4.62834","4.34343","4.41105","5.56788","5.52184","5.24546","4.32780","ND","7.43274","6.29355","5.39199","5.35215","4.53037","3.48587","3.19002","3.74372","3.00817","3.00605","3.28353","3.02929","3.53431","2.44048","2.67031"
"Campeche","Total","2.79838","2.51407","3.20245","3.02400","3.18445","3.42208","4.25930","3.94270","3.73899","4.02596","4.02836","3.41979","2.62546","3.32284","3.63974","3.47344","3.47572","3.47649","3.00970","3.22312","2.78253","ND","3.82608","3.38969","2.92643","2.89527","3.05700","2.95580","3.06809","2.95330","2.29772","1.97641","1.76240","1.75905","1.81924","1.71511","1.56256"
"Campeche","Hombre","2.47753","2.65310","3.18023","3.12559","3.31078","3.00102","4.09881","3.66397","3.75583","4.10796","4.25597","3.25847","2.59594","3.33145","3.51495","3.24863","3.31624","2.76828","2.38695","3.13258","2.79203","ND","3.72418","3.67293","2.72492","2.44575","2.77973","2.95827","2.64769","2.68175","2.00127","1.73594","1.52886","1.65204","1.69070","1.56996","1.54516"
"Campeche","Mujer","3.39069","2.26534","3.24327","2.84611","2.94666","4.21944","4.54404","4.44836","3.70865","3.88937","3.65409","3.68605","2.67494","3.30862","3.84996","3.85585","3.75771","4.63198","3.99537","3.36527","2.76710","ND","4.00862","2.89436","3.26321","3.61296","3.52746","2.95170","3.75997","3.38961","2.77462","2.36770","2.13796","1.93467","2.02990","1.94216","1.58889"
"Coahuila de Zaragoza","Total","5.56038","5.32641","5.26411","4.25320","4.53431","4.84349","4.46888","3.95130","4.55961","5.01983","4.27673","3.69649","4.06485","4.08579","4.78423","3.63257","4.24849","4.88419","4.81236","4.27631","4.76719","ND","7.37167","6.15794","5.11096","4.84208","4.93013","4.80892","5.02271","4.02557","4.24342","3.41466","3.62833","3.70273","3.87742","4.33968","4.16703"
"Coahuila de Zaragoza","Hombre","5.01504","4.85512","4.66791","3.76760","4.47181","3.97563","3.78935","3.83682","4.36808","4.64371","3.64432","3.29489","4.01518","4.50590","4.51111","3.34752","4.01659","4.72021","4.62057","4.63110","5.20233","ND","8.11191","7.05405","5.42114","5.14130","5.10743","4.81637","5.06082","4.01858","4.19903","3.29710","3.53944","4.18049","3.62730","4.51560","3.92467"
"Coahuila de Zaragoza","Mujer","6.46175","6.12055","6.24194","5.05444","4.63991","6.31192","5.63589","4.14899","4.89191","5.65393","5.36164","4.39948","4.14908","3.37127","5.25061","4.07833","4.62421","5.14224","5.12211","3.68874","4.04420","ND","6.12187","4.64096","4.59678","4.35012","4.64084","4.79718","4.96193","4.03641","4.31431","3.60024","3.76736","2.98324","4.27488","4.07491","4.54596"
"Colima","Total","4.99852","4.45554","5.00744","4.24899","4.37413","4.26725","4.20734","3.48498","3.43244","3.81871","3.71093","3.54060","3.37957","2.65402","3.25771","3.71729","3.91841","3.62257","3.81958","2.95786","3.12872","ND","4.14453","3.80916","3.20564","3.19790","2.91652","3.12393","2.77123","2.56226","2.60985","2.35763","2.13478","2.20655","2.55965","2.30336","2.10577"
"Colima","Hombre","4.78500","4.75442","4.44023","3.90137","4.68632","4.45937","3.82715","3.02763","3.31819","3.92188","3.38492","3.40536","2.95014","2.64930","3.36955","3.60578","3.80624","2.93411","3.30794","2.76599","3.19605","ND","4.29262","3.35138","3.09854","2.82211","2.64151","2.70327","2.53230","2.46413","2.13461","1.90953","2.18176","2.21698","2.36406","2.31622","2.02728"
"Colima","Mujer","5.28765","4.04538","5.78188","4.72989","3.94311","3.99925","4.74537","4.13446","3.58692","3.67850","4.16377","3.72524","3.97251","2.66039","3.09980","3.86870","4.06654","4.50769","4.49268","3.21061","3.03494","ND","3.91046","4.47528","3.34820","3.69750","3.28007","3.68300","3.10462","2.69642","3.27061","2.96965","2.07139","2.19238","2.81621","2.28647","2.20055"
