FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
26-may-16,N.L.,"GUADALUPE, N.L.",2,3,5,0,0,100,
06-jul-16,SIN.,"CULIACAN, SIN.",4,1,5,0,6,0,
07-jul-16,SIN.,"CULIACAN, SIN.",5,0,5,0,0,0,
12-jul-16,SIN.,"CULIACAN, SIN.",5,0,5,0,10,0,
13-jul-16,SIN.,"CULIACAN, SIN.",2,3,5,0,4,0,
18-jul-16,B.C.,"TIJUANA, B.C.",3,2,5,0,0,0,
22-jul-16,COAH.,"MONCLOVA, COAH.",2,3,5,0,0,0,
01-ago-16,S.L.P.,"SAN LUIS POTOSI, S.L.P.",5,0,5,3,0,0,
08-ago-16,MEX.,"ACOLMAN, MEX.",4,1,5,0,0,13,
10-ago-16,MEX.,"ACOLMAN, MEX.",3,2,5,0,0,35,
11-ago-16,COAH.,"TORREÓN, COAH.",3,2,5,0,0,0,
11-ago-16,SIN.,"NAVOLATO, SIN.",5,0,5,0,0,0,
15-ago-16,MEX.,"TOLUCA, MEX.",5,0,5,3,0,5,
15-ago-16,MEX.,"AMECAMECA, MEX.",4,1,5,0,0,0,
18-ago-16,MEX.,"ZUMPAHUACAN, MEX.",5,0,5,0,1,0,
24-ago-16,SON.,"CAJEME, SON.",2,3,5,0,0,73,
31-ago-16,MEX.,"TULTEPEC, MEX.",5,0,5,3,0,3,
01-sep-16,MEX.,"TULTEPEC, MEX.",1,4,5,0,0,67,
09-sep-16,MEX.,"SAN MARTIN DE LAS PIRAMIDES, MEX.",3,2,5,0,4,0,
19-sep-16,COAH.,"TORREÓN, COAH.",4,1,5,0,0,40,
19-sep-16,COAH.,"MÚZQUIZ, COAH.",4,1,5,0,0,0,
20-sep-16,MEX.,"ATLACOMULCO, MEX.",3,2,5,0,3,170,
22-sep-16,MEX.,"ATLACOMULCO, MEX.",2,3,5,0,0,0,
23-sep-16,MEX.,"ATLACOMULCO, MEX.",3,2,5,0,0,0,
30-sep-16,MOR.,"XOCHITEPEC, MOR.",4,1,5,0,5,1197,
30-sep-16,SIN.,"CONCORDIA, SIN.",4,1,5,0,4,0,
03-oct-16,MEX.,"TEPOTZOTLAN, MEX.",5,0,5,1,0,40,
05-oct-16,SON.,"CAJEME, SON.",3,2,5,4,0,0,
10-oct-16,SIN.,"CHOIX, SIN.",2,3,5,0,2,0,
11-oct-16,SIN.,"CHOIX, SIN.",5,0,5,0,0,0,
12-oct-16,MEX.,"IXTAPALUCA, MEX.",5,0,5,1,0,127,
12-oct-16,SON.,"HERMOSILLO, SON.",5,0,5,14,0,46,
17-oct-16,CHIS.,"TAPACHULA, CHIS.",4,1,5,1,1,191,
21-oct-16,MEX.,"NEXTLALPAN, MEX., MEX.",4,1,5,2,0,5,
24-oct-16,MEX.,"ZINACANTEPEC, MEX.",5,0,5,0,0,0,
08-nov-16,SON.,"HERMOSILLO, SON.",5,0,5,0,0,0,
08-nov-16,MEX.,"TEMAMATLA, MEX.",5,0,5,0,0,0,
12-nov-16,SON.,"NOGALES, SON.",5,0,5,5,0,124,
12-nov-16,SON.,"HERMOSILLO, SON.",3,2,5,0,0,0,
12-nov-16,MEX.,"LUVIANOS, MEX.",5,0,5,2,0,0,
18-nov-16,SON.,"HERMOSILLO, SON.",5,0,5,0,0,0,
18-nov-16,MEX.,"TECAMAC, MEX.",5,0,5,0,0,0,
22-nov-16,MEX.,"NOPALTEPEC, MEX.",0,5,5,5,8,173,
29-nov-16,D.F.,"ALVARO OBREGON, D.F.",3,2,5,0,2,68,
02-dic-16,MEX.,"ACAMBAY, MEX.",5,0,5,4,0,0,
05-dic-16,B.C.,"TIJUANA, B.C.",1,4,5,0,0,0,
07-dic-16,B.C.,"TIJUANA, B.C.",0,5,5,0,0,0,
08-dic-16,D.F.,"VENUSTIANO CARRANZA, D.F.",3,2,5,0,0,76,
12-dic-16,S.L.P.,"CIUDAD VALLES, S.L.P.",4,1,5,0,0,6,
17-dic-16,B.C.,"TIJUANA, B.C.",0,5,5,0,1,0,
21-dic-16,B.C.,"TIJUANA, B.C.",0,5,5,0,0,0,
21-dic-16,TAMPS.,"TAMPICO, TAMPS.",5,0,5,11,0,475,
21-ene-17,DGO.,"DGO., DGO.",3,2,5,2,0,0,
24-ene-17,DGO.,"DGO., DGO.",2,3,5,0,0,11,
25-ene-17,B.C.,"TIJUANA, B.C.",5,0,5,0,0,0,
25-ene-17,B.C.,"TIJUANA, B.C.",5,0,5,0,0,0,
26-ene-17,DGO.,"DGO., DGO.",4,1,5,1,0,50,
03-feb-17,OAX.,"PINOTEPA DE DON LUIS, OAX.",3,2,5,1,0,0,
03-feb-17,OAX.,"PINOTEPA DE DON LUIS, OAX.",3,2,5,1,0,0,
07-feb-17,MICH.,"LAZARO CARDENAS, MICH.",3,2,5,1,0,0,
09-feb-17,COAH.,"PIEDRAS NEGRAS, COAH.",1,4,5,0,0,0,
17-feb-17,TAMPS.,"MATAMOROS, TAMPS.",1,4,5,1,0,406,
21-feb-17,COAH.,"PIEDRAS NEGRAS, COAH.",4,1,5,0,0,84,
23-feb-17,D.F.,"IZTAPALAPA, D.F.",5,0,5,0,0,0,
25-feb-17,COAH.,"PIEDRAS NEGRAS, COAH.",0,5,5,20,0,0,
01-mar-17,TAMPS.,"NUEVO LAREDO, TAMPS.",5,0,5,1,0,204,
03-mar-17,TAMPS.,"NUEVO LAREDO, TAMPS.",3,2,5,2,0,26,
08-mar-17,MEX.,"TOLUCA, MEX.",4,1,5,0,0,0,
09-mar-17,TAMPS.,"NUEVO LAREDO, TAMPS.",3,2,5,0,0,127,
11-mar-17,MEX.,"TOLUCA, MEX.",3,2,5,2,0,343,
11-mar-17,CHIH.,"HGO. DEL PARRAL, CHIH.",3,2,5,9,0,1662,
13-mar-17,DGO.,"DGO., DGO.",3,2,5,3,1,0,
14-mar-17,DGO.,"CANATLAN, DGO.",2,3,5,0,0,0,
14-mar-17,QRO.,"SAN JUAN DEL RIO, QRO.",4,1,5,0,0,0,
15-mar-17,QRO.,"QUERETARO, QRO.",0,5,5,0,0,0,
23-mar-17,MEX.,"NAUCALPAN DE JUAREZ, MEX.",5,0,5,0,0,446,
23-mar-17,MEX.,"TECAMAC, MEX.",5,0,5,0,0,0,
24-mar-17,TAMPS.,"MATAMOROS, TAMPS.",3,2,5,9,0,242,
01-abr-17,TAMPS.,"MATAMOROS, TAMPS.",1,4,5,2,0,632,
03-abr-17,QRO.,"QUERETARO, QRO.",0,5,5,0,0,0,
04-abr-17,D.F.,"TLALPAN, D.F.",3,2,5,0,1,117,
06-abr-17,D.F.,"TLALPAN, D.F.",4,1,5,0,3,9,
08-abr-17,TAMPS.,"MATAMOROS, TAMPS.",4,1,5,15,0,855,
10-abr-17,DGO.,"DGO., DGO.",3,2,5,2,0,0,
10-abr-17,DGO.,"DGO., DGO.",3,2,5,2,0,0,
18-abr-17,SIN.,"MAZATLAN, SIN.",4,1,5,0,6,0,
24-abr-17,SIN.,"MAZATLAN, SIN.",3,2,5,0,0,0,
25-abr-17,S.L.P.,"SAN LUIS POTOSI, S.L.P.",4,1,5,1,0,105,
25-abr-17,JAL.,"GUADALAJARA, JAL.",2,3,5,0,0,0,
26-abr-17,JAL.,"ZAPOPAN, JAL.",5,0,5,0,0,55,
29-abr-17,JAL.,"GUADALAJARA, JAL.",2,3,5,0,0,0,
04-may-17,GTO.,"SALAMANCA, GTO.",4,1,5,0,0,0,
13-may-17,TAMPS.,"MATAMOROS, TAMPS.",0,5,5,1,0,10,
15-may-17,DGO.,"DGO., DGO.",2,3,5,0,0,0,
23-may-17,AGS.,"AGS., AGS.",3,2,5,13,1,324,
30-may-17,SIN.,"SIN., SIN.",0,5,5,0,0,0,
05-jun-17,CHIS.,"COMITAN DE DOMÍNGUEZ, CHIS.",5,0,5,0,0,90,
07-jun-17,B.C.,"TIJUANA, B.C.",4,1,5,0,0,0,
07-jun-17,MOR.,"CUERNAVACA, MOR.",0,5,5,5,1,85,
07-jun-17,TLAX.,"CHIAUTEMPAN, TLAX.",1,4,5,0,0,0,
08-jun-17,CHIS.,"TONALÁ, CHIS.",3,2,5,30,0,629,
09-jun-17,N.L.,"SANTA CATARINA, N.L.",5,0,5,0,0,140,
09-jun-17,CHIS.,"TAPACHULA, CHIS.",1,4,5,6,0,1551,
09-jun-17,MOR.,"CUERNAVACA, MOR.",2,3,5,28,1,273,
09-jun-17,QRO.,"QUERETARO, QRO.",1,4,5,0,0,0,
11-jun-17,JAL.,"ZAPOPAN, JAL.",5,0,5,0,0,121,
14-jun-17,JAL.,"ZAPOPAN, JAL.",3,2,5,0,0,0,
15-jun-17,N.L.,"MONTERREY, N.L.",5,0,5,0,0,0,
17-jun-17,CHIH.,"OJINAGA, CHIH.",4,1,5,0,0,0,
20-jun-17,SIN.,"CHOIX, SIN.",4,1,5,0,0,0,
21-jun-17,TLAX.,"IXTACUIXTLA DE MARIANO MATAMOROS, TLAX.",2,3,5,0,0,0,
24-jun-17,MOR.,"TEPOZTLAN, MOR.",3,2,5,2,0,70,
10-jul-17,D.F.,"MILPA ALTA, D.F.",5,0,5,0,0,67,
13-jul-17,CHIS.,"CHIAPA DE CORZO, CHIS.",1,4,5,16,0,746,
28-jul-17,MOR.,"EMILIANO ZAPATA, MOR.",5,0,5,0,1,117,
30-jul-17,MEX.,"CHAPA DE MOTA, MEX.",2,3,5,2,0,0,
30-jul-17,MEX.,"TEPETLAOXTOC, MEX.",4,1,5,1,0,118,
02-ago-17,MOR.,"EMILIANO ZAPATA, MOR.",3,2,5,7,4,0,
09-ago-17,S.L.P.,"SAN LUIS POTOSI, S.L.P.",5,0,5,16,0,283,
11-ago-17,TAMPS.,"MATAMOROS, TAMPS.",5,0,5,0,0,0,
12-ago-17,S.L.P.,"SAN LUIS POTOSI, S.L.P.",5,0,5,8,0,0,
14-ago-17,D.F.,"VENUSTIANO CARRANZA, D.F.",5,0,5,0,0,7,
16-ago-17,MOR.,"EMILIANO ZAPATA, MOR.",4,1,5,1,0,0,
18-ago-17,TAMPS.,"MATAMOROS, TAMPS.",2,3,5,0,0,0,
19-ago-17,MEX.,"TEXCOCO, MEX.",4,1,5,2,0,66,
23-ago-17,N.L.,"APODACA, N.L.",2,3,5,0,0,0,
26-ago-17,COAH.,"RAMOS ARIZPE, COAH.",5,0,5,1,0,500,
07-sep-17,COAH.,"TORREÓN, COAH.",5,0,5,25,0,54,
07-sep-17,ZAC.,"GUADALUPE, ZAC.",3,2,5,0,0,640,
13-sep-17,ZAC.,"GUADALUPE, ZAC.",4,1,5,2,0,769,
15-sep-17,ZAC.,"GUADALUPE, ZAC.",4,1,5,0,0,1060,
18-sep-17,COAH.,"TORREÓN, COAH.",4,1,5,0,0,0,
21-sep-17,AGS.,"AGS., AGS.",1,4,5,3,0,0,
24-sep-17,ZAC.,"ZAC., ZAC.",5,0,5,0,0,641,
25-sep-17,SIN.,"AHOME, SIN.",4,1,5,0,1,183,
25-sep-17,COAH.,"RAMOS ARIZPE, COAH.",5,0,5,2,0,487,
26-sep-17,ZAC.,"ZAC., ZAC.",3,2,5,0,0,6,
26-sep-17,SIN.,"AHOME, SIN.",4,1,5,0,1,0,
27-sep-17,ZAC.,"GUADALUPE, ZAC.",5,0,5,7,0,664,
27-sep-17,SIN.,"AHOME, SIN.",4,1,5,0,0,0,
28-sep-17,DGO.,"DGO., DGO.",2,3,5,0,0,0,
03-oct-17,ZAC.,"JEREZ, ZAC.",1,4,5,5,0,1468,
12-oct-17,D.F.,"IZTACALCO, D.F.",4,1,5,0,0,319,
13-oct-17,D.F.,"IZTACALCO, D.F.",3,2,5,0,0,0,
16-oct-17,SIN.,"CULIACAN, SIN.",4,1,5,0,8,0,
25-oct-17,DGO.,"GOMEZ PALACIO, DGO.",3,2,5,0,0,0,
27-oct-17,SIN.,"CULIACAN, SIN.",5,0,5,0,18,0,
07-nov-17,ZAC.,"GUADALUPE, ZAC.",3,2,5,0,0,12,
08-dic-17,GTO.,"LEON, GTO.",3,2,5,0,4,0,
11-dic-17,GTO.,"LEON, GTO.",3,2,5,0,1,0,
12-dic-17,GTO.,"LEON, GTO.",3,2,5,0,0,0,
22-dic-17,B.C.,"TIJUANA, B.C.",4,1,5,0,0,0,
30-dic-17,B.C.,"TIJUANA, B.C.",3,2,5,0,0,0,
02-ene-18,B.C.,"TIJUANA, B.C.",4,1,5,0,0,0,
15-ene-18,COAH.,"SALTILLO, COAH.",4,1,5,1,0,100,
15-ene-18,COAH.,"MONCLOVA, COAH.",1,4,5,7,5,0,
19-ene-18,COAH.,"SALTILLO, COAH.",5,0,5,7,0,489,
23-ene-18,D.F.,"CUAUHTEMOC, D.F.",3,2,5,0,0,243,
26-ene-18,COAH.,"PIEDRAS NEGRAS, COAH.",1,4,5,0,0,0,
29-ene-18,GTO.,"IRAPUATO, GTO.",4,1,5,2,0,38,
31-ene-18,ZAC.,"GUADALUPE, ZAC.",3,2,5,11,0,0,
01-feb-18,COAH.,"TORREÓN, COAH.",5,0,5,0,0,1,
03-feb-18,COAH.,"SALTILLO, COAH.",5,0,5,1,0,96,
06-feb-18,COAH.,"SALTILLO, COAH.",5,0,5,1,0,96,
09-feb-18,D.F.,"TLAHUAC, D.F.",2,3,5,0,0,62,
09-feb-18,COAH.,"MONCLOVA, COAH.",3,2,5,4,1,155,
12-feb-18,ZAC.,"FRESNILLO, ZAC.",4,1,5,39,0,300,
14-feb-18,COAH.,"MONCLOVA, COAH.",5,0,5,16,0,254,
05-mar-18,D.F.,"TLALPAN, D.F.",3,2,5,0,0,0,
09-mar-18,GRO.,"TECPAN DE GALEANA, GRO.",5,0,5,2,0,0,
12-mar-18,S.L.P.,"SAN LUIS POTOSI, S.L.P.",3,2,5,0,0,0,
12-mar-18,COAH.,"MONCLOVA, COAH.",5,0,5,1,3,37,
13-mar-18,COAH.,"ACUÑA, COAH.",0,5,5,0,0,0,
13-mar-18,ZAC.,"FRESNILLO, ZAC.",4,1,5,6,0,39,
03-jul-18,SIN.,"CULIACAN, SIN.",4,1,5,0,0,0,
17-jul-18,GTO.,"IRAPUATO, GTO.",4,1,5,0,0,19,
20-jul-18,ZAC.,"GUADALUPE, ZAC.",3,2,5,9,0,187,
20-jul-18,GTO.,"CELAYA, GTO.",4,1,5,0,0,0,
23-jul-18,ZAC.,"GUADALUPE, ZAC.",2,3,5,1,1,85,
30-jul-18,GTO.,"IRAPUATO, GTO.",1,4,5,0,0,0,
03-ago-18,DGO.,"GOMEZ PALACIO, DGO.",5,0,5,3,0,0,
06-ago-18,CHIS.,"CHICOASÉN, CHIS.",5,0,5,1,0,16,
06-ago-18,MEX.,"ATIZAPAN, MEX.",3,2,5,0,0,138,
07-ago-18,GTO.,"CELAYA, GTO.",5,0,5,0,0,69,
07-ago-18,TAMPS.,"TAMPICO, TAMPS.",4,1,5,0,0,16,
08-ago-18,MEX.,"CHALCO, MEX.",2,3,5,0,0,461,
09-ago-18,MEX.,"ATLACOMULCO, MEX.",5,0,5,2,0,710,
09-ago-18,CHIS.,"TAPACHULA, CHIS.",3,2,5,1,1,77,
09-ago-18,TAMPS.,"VICTORIA, TAMPS.",2,3,5,0,0,20,
11-ago-18,MEX.,"CHALCO, MEX.",4,1,5,0,0,63,
12-ago-18,CHIS.,"TUXTLA GUTIÉRREZ, CHIS.",2,3,5,1,0,0,
13-ago-18,QRO.,"PINAL DE AMOLES, QRO.",5,0,5,1,0,0,
13-ago-18,MEX.,"ATIZAPAN, MEX.",4,1,5,3,0,66,
13-ago-18,MEX.,"SAN MATEO ATENCO, MEX.",3,2,5,1,0,71,
16-ago-18,N.L.,"LINARES, N.L.",5,0,5,0,0,0,
16-ago-18,GTO.,"CELAYA, GTO.",3,2,5,0,0,0,
21-ago-18,TAMPS.,"REYNOSA, TAMPS.",2,3,5,0,0,70,
21-ago-18,COAH.,"SALTILLO, COAH.",1,4,5,0,0,0,
21-ago-18,B.C.,"TIJUANA, B.C.",5,0,5,0,0,0,
25-ago-18,TAMPS.,"REYNOSA, TAMPS.",5,0,5,0,0,0,
27-ago-18,COAH.,"TORREÓN, COAH.",4,1,5,2,0,24,
27-ago-18,D.F.,"AZCAPOTZALCO, D.F.",4,1,5,0,1,156,
29-ago-18,AGS.,"AGS., AGS.",3,2,5,0,0,0,
31-ago-18,MEX.,"CHIMALHUACAN, MEX.",3,2,5,0,0,18228,
01-sep-18,TLAX.,"SAN PABLO DEL MONTE, TLAX.",5,0,5,0,0,0,
03-sep-18,B.C.,"TIJUANA, B.C.",3,2,5,0,0,0,
03-sep-18,MEX.,"TENANCINGO, MEX.",3,2,5,1,0,0,
19-sep-18,MEX.,"TOLUCA, MEX.",4,1,5,2,0,7196,
20-sep-18,AGS.,"AGS., AGS.",5,0,5,0,0,35,
22-sep-18,MEX.,"TOLUCA, MEX.",5,0,5,4,0,3608,
22-sep-18,MOR.,"CUERNAVACA, MOR.",5,0,5,0,0,653,
01-oct-18,S.L.P.,"SAN LUIS POTOSI, S.L.P.",5,0,5,0,0,0,
04-oct-18,D.F.,"MIGUEL HGO., D.F.",5,0,5,0,3,134,
16-oct-18,MEX.,"HUEHUETOCA, MEX.",4,1,5,0,0,36,
16-oct-18,D.F.,"VENUSTIANO CARRANZA, D.F.",4,1,5,0,0,76,
18-oct-18,D.F.,"VENUSTIANO CARRANZA, D.F.",5,0,5,0,0,1201,
18-oct-18,GTO.,"LEON, GTO.",4,1,5,0,3,0,
20-oct-18,MEX.,"ATIZAPAN, MEX.",1,4,5,0,0,0,
22-oct-18,CHIH.,"JUÁREZ, CHIH.",4,1,5,1,0,185,
28-oct-18,CHIH.,"JUÁREZ, CHIH.",0,5,5,6,0,3022,
30-oct-18,CHIH.,"JUÁREZ, CHIH.",1,4,5,2,0,495,
06-nov-18,D.F.,"COYOACAN, D.F.",3,2,5,0,0,2865,
06-nov-18,MEX.,"CUAUTITLAN IZCALLI, MEX.",3,2,5,3,0,60,
08-nov-18,MEX.,"VALLE DE CHALCO SOLIDARIDAD, MEX.",4,1,5,3,0,292,
09-nov-18,MEX.,"VALLE DE CHALCO SOLIDARIDAD, MEX.",5,0,5,0,0,0,
12-nov-18,N.L.,"LOS ALDAMAS, N.L.",3,2,5,17,0,0,
27-nov-18,ZAC.,"GUADALUPE, ZAC.",5,0,5,9,0,0,
28-nov-18,SIN.,"AHOME, SIN.",3,2,5,0,1,0,
07-dic-18,SIN.,"ANGOSTURA, SIN.",2,3,5,0,0,0,
13-dic-18,SIN.,"CULIACAN, SIN.",4,1,5,0,0,0,
27-dic-18,B.C.,"TIJUANA, B.C.",2,3,5,0,0,0,
26-feb-19,ZAC.,"FRESNILLO, ZAC.",5,0,5,3,0,2147,
01-mar-19,GTO.,"ACAMBARO, GTO.",2,3,5,0,0,0,
08-mar-19,CHIS.,"TUXTLA GUTIÉRREZ, CHIS.",4,1,5,6,2,5565,
13-mar-19,CD. MÉX.,"BENITO JUAREZ, CD. MÉX.",5,0,5,0,0,262,
01-abr-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",5,0,5,0,0,6,
04-abr-19,CD. MÉX.,"XOCHIMILCO, CD. MÉX.",1,4,5,0,0,0,
04-abr-19,S.L.P.,"SAN LUIS POTOSI, S.L.P.",4,1,5,2,0,0,
06-may-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",3,2,5,0,0,402,
07-may-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",5,0,5,0,1,808,
09-may-19,CHIH.,"JUÁREZ, CHIH.",3,2,5,16,0,1020,
10-may-19,CD. MÉX.,"AZCAPOTZALCO, CD. MÉX.",2,3,5,0,0,75,
21-may-19,CHIH.,"JUÁREZ, CHIH.",1,4,5,33,0,350,
22-may-19,CD. MÉX.,"MILPA ALTA, CD. MÉX.",2,3,5,0,0,44,
23-may-19,CD. MÉX.,"VENUSTIANO CARRANZA, CD. MÉX.",5,0,5,0,0,142,
28-may-19,CHIH.,"JUÁREZ, CHIH.",3,2,5,10,0,371,
29-may-19,CD. MÉX.,"MILPA ALTA, CD. MÉX.",3,2,5,0,0,106,
29-may-19,CHIH.,"JUÁREZ, CHIH.",5,0,5,53,0,57,
31-may-19,CD. MÉX.,"MILPA ALTA, CD. MÉX.",5,0,5,0,0,32,
04-jun-19,MÉX.,"ECATEPEC DE MOR., MEX.",5,0,5,0,2,190,
07-jun-19,CD. MÉX.,"LA MAGDALENA CONTRERAS, CD. MÉX.",4,1,5,0,13,0,
07-jun-19,QRO.,"SAN JUAN DEL RIO, QRO.",2,3,5,0,3,0,
14-jun-19,CD. MÉX.,"IZTACALCO, CD. MÉX.",5,0,5,0,1,56,
24-jun-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",4,1,5,0,0,57,
08-jul-19,CD. MÉX.,"XOCHIMILCO, CD. MÉX.",4,1,5,0,0,903,
08-jul-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",4,1,5,0,0,15,
19-jul-19,NAY.,"TEPIC, NAY.",5,0,5,0,0,0,
25-jul-19,COAH.,"FRANCISCO I. MADERO, COAH.",5,0,5,0,0,0,
27-jul-19,CHIH.,"DELICIAS, CHIH.",3,2,5,0,0,0,
30-jul-19,NAY.,"TECUALA, NAY.",5,0,5,0,0,0,
01-ago-19,QRO.,"PEDRO ESCOBEDO, QRO.",1,4,5,0,0,0,
02-ago-19,AGS.,"EL LLANO, AGS.",5,0,5,10,1,40,
02-ago-19,QRO.,"PEDRO ESCOBEDO, QRO.",3,2,5,0,0,0,
04-ago-19,NAY.,"ACAPONETA, NAY.",4,1,5,0,0,0,
06-ago-19,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",5,0,5,0,0,36,
08-ago-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",5,0,5,0,0,2,
19-ago-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",5,0,5,0,0,0,
20-ago-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",4,1,5,0,0,218,
20-ago-19,QRO.,"QUERETARO, QRO.",3,2,5,0,2,0,
21-ago-19,QRO.,"EZEQUIEL MONTES, QRO.",2,3,5,0,0,0,
23-ago-19,VER.,"LAS CHOAPAS, VER.",3,2,5,1,0,0,
27-ago-19,TAMPS.,"REYNOSA, TAMPS.",4,1,5,4,0,307,
29-ago-19,CD. MÉX.,"MIGUEL HGO., CD. MÉX.",4,1,5,0,0,87,
30-ago-19,CHIH.,"NUEVO CASAS GRANDES, CHIH.",3,2,5,0,0,0,
31-ago-19,MÉX.,"ATLACOMULCO, MEX.",2,3,5,0,0,0,
02-sep-19,MÉX.,"TOLUCA, MEX.",3,2,5,1,20,95,
02-sep-19,CD. MÉX.,"MIGUEL HGO., CD. MÉX.",3,2,5,0,0,84,
03-sep-19,CD. MÉX.,"MIGUEL HGO., CD. MÉX.",5,0,5,0,0,7,
06-sep-19,MÉX.,"NEZAHUALCOYOTL, MEX.",3,2,5,0,0,676,
09-sep-19,MÉX.,"NEZAHUALCOYOTL, MEX.",5,0,5,4,0,47,
12-sep-19,CD. MÉX.,"COYOACAN, CD. MÉX.",5,0,5,0,0,341,
13-sep-19,MÉX.,"NEZAHUALCOYOTL, MEX.",4,1,5,0,0,164,
18-sep-19,TLAX.,"TETLA DE LA SOLIDARIDAD, TLAX.",0,5,5,0,0,0,
04-oct-19,MÉX.,"CHIMALHUACAN, MEX.",5,0,5,4,0,130,
07-oct-19,TAMPS.,"TAMPICO, TAMPS.",4,1,5,0,0,383,
08-oct-19,MÉX.,"METEPEC, MEX.",4,1,5,3,2,702,
08-oct-19,CD. MÉX.,"IZTACALCO, CD. MÉX.",5,0,5,0,0,346,
14-oct-19,MÉX.,"ZINACANTEPEC, MEX.",2,3,5,0,0,0,
14-oct-19,MÉX.,"IXTAPALUCA, MEX.",5,0,5,0,1,144,
15-oct-19,MÉX.,"TEMOAYA, MEX.",3,2,5,3,0,154,
15-oct-19,MÉX.,"IXTAPALUCA, MEX.",5,0,5,0,1,142,
15-oct-19,CD. MÉX.,"IZTACALCO, CD. MÉX.",5,0,5,0,0,3,
16-oct-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",2,3,5,0,0,34,
18-oct-19,CD. MÉX.,"CUAJIMALPA DE MOR., CD. MÉX.",4,1,5,0,0,61,
29-oct-19,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",5,0,5,0,2,615,
29-oct-19,MÉX.,"CHALCO, MEX.",3,2,5,0,0,201,
06-nov-19,MÉX.,"LA PAZ, MEX.",5,0,5,0,0,314,
09-nov-19,MÉX.,"LA PAZ, MEX.",3,2,5,0,0,100,
11-nov-19,CD. MÉX.,"BENITO JUAREZ, CD. MÉX.",4,1,5,0,0,457,
11-nov-19,MÉX.,"CUAUTITLAN IZCALLI, MEX.",4,1,5,0,0,249,
21-nov-19,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",4,1,5,0,0,164,
22-nov-19,MÉX.,"ALMOLOYA DE JUAREZ, MEX.",5,0,5,0,0,0,
22-nov-19,CD. MÉX.,"COYOACAN, CD. MÉX.",2,3,5,0,0,0,
22-nov-19,MÉX.,"COYOTEPEC, MEX.",4,1,5,0,3,228,
28-nov-19,GTO.,"LEON, GTO.",0,5,5,0,0,0,
02-dic-19,GTO.,"LEON, GTO.",4,1,5,0,0,0,
06-dic-19,CD. MÉX.,"XOCHIMILCO, CD. MÉX.",0,5,5,0,0,0,
29-ene-20,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",4,1,5,0,0,55,
29-ene-20,CHIS.,"COMITAN DE DOMÍNGUEZ, CHIS.",2,3,5,2,2,420,
30-ene-20,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",5,0,5,0,0,340,
05-feb-20,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",4,1,5,0,1,733,
14-feb-20,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",5,0,5,0,0,223,
18-feb-20,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",4,1,5,0,0,628,
21-feb-20,SIN.,"GUASAVE, SIN.",4,1,5,0,0,0,
25-feb-20,CD. MÉX.,"IZTAPALAPA, CD. MÉX.",2,3,5,0,0,50,
27-feb-20,COAH.,"SALTILLO, COAH.",2,3,5,1,0,30,
09-mar-20,VER.,"COATZACOALCOS, VER.",5,0,5,3,0,165,
17-sep-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",4,1,5,0,0,0,
21-sep-20,VER.,"CORDOBA, VER.",4,1,5,3,0,129,
27-sep-20,VER.,"MARTINEZ DE LA TORRE, VER.",2,3,5,2,0,0,
30-sep-20,VER.,"MARTINEZ DE LA TORRE, VER.",1,4,5,1,0,317,
02-oct-20,VER.,"CORDOBA, VER.",1,4,5,1,0,9539,
08-oct-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",0,5,5,0,0,0,
27-oct-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",4,1,5,0,0,460,
06-nov-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",3,2,5,0,0,0,
13-nov-20,CD. MÉX.,"MIGUEL HGO., CD. MÉX.",3,2,5,0,0,65,
07-dic-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",2,3,5,0,0,0,
15-dic-20,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",0,5,5,0,0,0,
18-dic-20,CD. MÉX.,"CUAUHTEMOC, CD. MÉX.",0,5,5,0,0,0,
23-sep-21,GTO.,"SALAMANCA, GTO.",5,0,5,0,0,138,
08-nov-21,CD. MÉX.,"COYOACAN, CD. MÉX.",5,0,5,0,0,310,
09-nov-21,TLAX.,"TLAX., TLAX.",4,1,5,0,0,46,
